author_id,Name
1,Suzanne Collins
2,J.K. Rowling
3,Mary GrandPré
4,Stephenie Meyer
5,Harper Lee
6,F. Scott Fitzgerald
7,John Green
8,J.R.R. Tolkien
9,J.D. Salinger
10,Dan Brown
11,Jane Austen
12,Khaled Hosseini
13,Veronica Roth
14,George Orwell
15,Erich Fromm
16,Celâl Üster
17,Anne Frank
18,Eleanor Roosevelt
19,B.M. Mooyaart-Doubleday
20,Stieg Larsson
21,Reg Keeland
22,Rufus Beck
23,Alice Sebold
24,William Golding
25,William Shakespeare
26,Robert           Jackson
27,Gillian Flynn
28,Kathryn Stockett
29,John Steinbeck
30,Arthur Golden
31,E.L. James
32,Paulo Coelho
33,Alan R. Clarke
34,Lois Lowry
35,C.S. Lewis
36,Audrey Niffenegger
37,George R.R. Martin
38,Elizabeth Gilbert
39,Rick Riordan
40,Louisa May Alcott
41,Charlotte Brontë
42,Michael Mason
43,Nicholas Sparks
44,Yann Martel
45,Sara Gruen
46,Markus Zusak
47,Ray Bradbury
48,Shel Silverstein
49,Cassandra Clare
50,Christopher Paolini
51,Douglas Adams
52,Aldous Huxley
53,Sue Monk Kidd
54,Mark Twain
55,John Seelye
56,Guy Cardwell
57,E.B. White
58,Garth Williams
59,Rosemary Wells
60,Mark Haddon
61,Paula Hawkins
62,Philip Pullman
63,Emily Brontë
64,Richard J. Dunn
65,Jodi Picoult
66,Kurt Vonnegut Jr.
67,Margaret Mitchell
68,Stephen Chbosky
69,Orson Scott Card
70,Mary Wollstonecraft Shelley
71,Percy Bysshe Shelley
72,Maurice Hindle
73,Stephen King
74,Helen Fielding
75,Tony Tanner
76,Ros Ballaster
77,Louis Sachar
78,Lauren Weisberger
79,Antoine de Saint-Exupéry
80,Richard Howard
81,Dom Marcos Barbosa
82,Melina Karakosta
83,Jeannette Walls
84,Jon Krakauer
85,Charles Dickens
86,Richard Maxwell
87,Hablot Knight Browne
88,Michael Crichton
89,John Grisham
90,Elie Wiesel
91,Marion Wiesel
92,William Goldman
93,S.E. Hinton
94,James Dashner
95,Steven D. Levitt
96,Stephen J. Dubner
97,Frances Hodgson Burnett
98,Gabriel García Márquez
99,Gregory Rabassa
100,Oscar Wilde
101,Jeffrey Eugenides
102,Bram Stoker
103,Nina Auerbach
104,David J. Skal
105,Barbara Kingsolver
106,David Sedaris
107,Maurice Sendak
108,Alexandre Dumas
109,Robin Buss
110,Cormac McCarthy
111,Tina Fey
112,Sophie Kinsella
113,Victor Hugo
114,Lee Fahnestock
115,Norman MacAfee
116,Kim Edwards
117,Jojo Moyes
118,Joseph Heller
119,Mitch Albom
120,Saulius Dagys
121,Madeleine L'Engle
122,Amy Tan
123,Margaret Atwood
124,Ann Brashares
125,Vladimir Nabokov
126,Craig Raine
127,Gregory Maguire
128,Douglas Smith
129,Emma Donoghue
130,Richard Andrews
131,Rex Gibson
132,Frank Herbert
133,Malcolm Gladwell
134,Walter Isaacson
135,Ken Kesey
136,Ernest Hemingway
137,L.M. Montgomery
138,Rebecca Wells
139,Diana Gabaldon
140,Nathaniel Hawthorne
141,Thomas E. Connolly
142,Nina Baym
143,Ransom Riggs
144,Andy Weir
145,Ken Follett
146,Anthony Doerr
147,Laura Hillenbrand
