book_id,author_id
1,1
2,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
13,15
13,16
14,14
15,17
15,18
15,19
16,20
16,21
17,1
18,2
18,3
18,22
19,8
20,1
21,2
21,3
22,23
23,2
23,3
24,2
24,3
25,2
25,3
26,10
27,2
27,3
28,24
29,25
29,26
30,27
31,28
32,29
33,30
34,31
35,32
35,33
36,34
37,35
38,36
39,37
40,38
41,39
42,40
43,41
43,42
44,43
45,44
46,45
47,46
48,47
49,4
50,48
51,49
52,4
53,50
54,51
55,52
56,4
57,53
58,54
58,55
58,56
59,57
59,58
59,59
60,60
61,61
62,62
63,63
63,64
64,65
65,66
66,67
67,12
68,68
69,13
70,69
71,70
71,71
71,72
72,73
73,4
74,7
75,74
76,11
76,75
76,76
77,77
78,78
79,79
79,80
79,81
79,82
80,83
81,84
82,85
82,86
82,87
83,88
84,48
85,89
86,90
86,91
87,7
88,92
89,93
90,94
91,95
91,96
92,97
93,98
93,99
94,100
94,101
95,31
96,102
96,103
96,104
97,20
97,21
98,31
99,105
100,106
101,107
102,108
102,109
103,110
104,13
105,111
106,43
107,112
108,113
108,114
108,115
109,37
110,116
111,117
112,118
113,119
113,120
114,101
115,54
115,56
115,55
116,121
117,122
118,123
119,124
120,125
120,126
121,127
121,128
122,89
123,129
124,25
124,130
124,131
125,132
126,133
127,134
128,135
129,136
130,29
131,119
132,137
133,49
134,37
135,138
136,139
137,140
137,141
137,142
138,143
139,20
139,21
140,144
141,145
142,146
143,147
144,10
145,148
146,149
147,150
148,151
149,152
150,43
151,25
152,8
153,153
154,154
154,155
155,156
155,157
156,39
157,85
158,8
159,158
159,159
160,39
161,160
162,37
163,161
164,162
165,73
165,163
166,43
167,10
168,11
168,164
169,165
169,166
169,167
169,168
170,169
171,170
172,39
173,73
174,171
174,172
175,173
176,174
177,175
177,176
178,177
179,178
179,179
180,49
181,156
181,157
182,180
183,181
184,182
185,37
186,8
187,183
188,184
188,185
188,186
189,187
190,133
191,188
191,189
191,190
192,191
192,192
193,193
194,194
195,195
196,196
197,197
198,10
199,198
200,199
201,85
202,200
203,201
204,202
205,203
206,204
207,205
208,133
209,206
210,207
210,208
211,39
212,209
213,210
214,211
214,212
215,213
216,35
216,214
217,215
218,216
219,217
220,218
221,29
222,27
223,89
224,219
224,220
225,221
225,222
225,223
226,11
226,224
226,225
227,226
228,73
229,98
229,227
230,228
231,229
232,84
233,73
234,230
235,231
236,10
237,34
238,232
239,73
240,27
241,233
242,234
242,235
243,236
244,25
244,237
244,238
244,239
245,240
246,241
247,154
248,242
249,243
249,2
250,244
251,245
251,246
252,247
252,248
253,249
253,221
253,250
254,251
254,252
255,94
256,253
257,229
258,254
259,136
260,255
261,232
262,256
263,257
264,258
265,259
265,260
266,261
267,262
267,263
267,264
268,265
269,266
269,267
269,268
270,7
271,269
272,162
273,48
274,270
274,271
274,2
275,272
276,89
277,162
278,273
278,162
279,274
280,275
281,43
282,245
282,246
283,276
284,277
285,278
286,279
287,35
287,214
288,280
289,39
290,73
291,281
292,66
293,282
293,283
293,284
294,285
294,286
295,287
296,288
297,43
298,289
299,290
300,73
301,290
302,187
303,112
304,49
305,291
306,292
307,162
307,293
308,294
309,295
309,296
310,297
310,298
311,299
312,300
313,301
314,49
315,302
316,303
317,162
318,304
318,305
319,160
320,306
321,307
322,308
323,309
323,310
324,311
325,65
326,35
327,312
328,213
329,156
329,157
330,232
331,313
332,314
332,315
333,316
333,317
333,318
333,319
334,2
335,89
336,106
337,50
338,320
338,321
339,35
340,322
341,73
342,323
342,324
343,49
344,325
345,25
346,326
347,327
348,328
348,329
349,330
349,331
350,154
351,12
352,332
352,333
353,85
353,334
353,335
354,35
355,154
356,184
356,336
357,337
358,338
359,62
360,339
361,39
362,340
363,106
364,156
364,157
365,299
366,341
367,94
368,162
369,342
370,343
371,344
371,345
372,346
373,7
373,347
374,348
375,205
376,349
377,350
378,351
378,352
379,353
380,354
381,280
381,125
381,355
381,356
382,154
383,357
384,358
385,205
386,136
387,359
388,360
388,361
389,362
390,2
391,363
392,136
393,364
393,365
394,366
395,66
396,367
397,368
398,369
399,370
400,371
401,112
402,372
403,108
404,373
405,374
406,156
406,157
407,375
408,205
409,205
410,376
411,2
412,201
413,377
413,378
413,379
414,380
414,381
415,382
415,383
416,100
417,39
418,273
419,344
419,384
420,204
421,269
422,385
423,198
424,272
425,386
426,53
427,229
428,387
428,388
428,389
429,145
430,73
